,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
8546,7770.0, JAWA TIMUR , MOJOKERTO , MOJOSARI , JOTANGAN ," Desa Jotangan, Kecamatan Mojosari, Kabupaten Mojokerto, Jawa Timur ", SPPG Mojokerto Mojosari Jotangan 
8548,7771.0, SULAWESI TENGGARA , MUNA , KATOBU , RAHA II ," Jalan Kenari Nomor 29, Kelurahan Raha Ii, Kecamatan Katobu, Kabupaten Muna, Provinsi Sulawesi Tenggara ", SPPG Muna Katobu Raha Ii 
8549,7772.0, JAWA TENGAH , SEMARANG , SUSUKAN , KENTENG ," Dusun Dalaman, Rt. 28 Rw. 07, Desa Kenteng, Kec. Susukan, Kab. Semarang, Jawa Tengah ", SPPG Semarang Susukan Kenteng 
8550,7773.0, NUSA TENGGARA BARAT , LOMBOK BARAT , LEMBAR , LEMBAR SELATAN ," Jalan Pelabuhan Lembar Dusun Muhajirin Lembar No. 01 Lembar Selatan, Kecamatan Lembar, Kabupaten Lombok Barat, Nusa Tenggara Barat ", SPPG Lombok Barat Lembar Lembar Selatan 2 
8551,7774.0, JAWA TENGAH , PURWOREJO , PURWODADI , JOGORESAN ," Jl. Daendels Jogoresan, Kec Purwodadi, Kab Purworejo,Jawa Tengah ", SPPG Purworejo Purwodadi Jogoresan 
8552,7775.0, JAWA TENGAH , CILACAP , SIDAREJA , SIDAREJA ," Jl. Jendral Sudirman No.222, Cikalong, Desa Sidareja, Kecamatan Sidareja, Kabupaten Cilacap, Jawa Tengah ", SPPG Cilacap Sidareja Sidareja 2 
8553,7776.0, JAMBI , BATANGHARI , MARO SEBO ULU , SIMPANG S. RENGAS ," Jl. Raya Muara Bungo Jambi, Rt 02 Rw 01 Kel. Simpang Sungai Rengas, Kec. Maro Sebo Ulu, Kab. Batanghari, Jambi ", SPPG Batanghari Maro Sebo Ulu Simpang S. Rengas 3 
8554,7777.0, JAWA BARAT , BOGOR , CIOMAS , KOTA BATU ," Gg. Hanjuang No.15, Rt.3/Rw.2 Kota Batu Kecamatan Ciomas Kabupaten Bogor Jawa barat ", SPPG Bogor Ciomas Kota Batu 1 
8555,7778.0, JAWA TIMUR , TUBAN , TAMBAKBOYO , DASIN ," RT 01 RW 01, Desa Dasin, KecamatanTambakboyo, Kabupaten Tuban, Jawa Timur ", SPPG Tuban Tambakboyo Dasin 
8556,7779.0, JAWA TIMUR , KOTA MALANG , BLIMBING , PANDANWANGI ," Pandanwangi, Kecamatan Blimbing, Kota Malang, Jawa Timur ", SPPG Kota Malang Blimbing Pandanwangi 
8557,7780.0, JAWA BARAT , KOTA CIREBON , HARJAMUKTI , LARANGAN , Jalan Rajawali Raya No.297 Kel.Larangan Kec.Harjamukti Kota Cirebon , SPPG Kota Cirebon Harjamukti Larangan 
8559,7781.0, DAERAH ISTIMEWA YOGYAKARTA , GUNUNGKIDUL , PANGGANG , GIRIWUNGU ," Pejaten Giriwungu Kecamatan Panggang, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta ", SPPG Gunungkidul Panggang Giriwungu 
8560,7782.0, JAWA TENGAH , BREBES , LARANGAN , SITANGGAL ," Jalan Raden Fatah Sitanggal, Gg. Merpati 10 RT. 08 RW 07 Dusun Lamaran Desa Sitanggal Kec. Larangan Kab. Brebes ", SPPG Brebes Larangan Sitanggal 2 
8561,7783.0, KALIMANTAN SELATAN , HULU SUNGAI UTARA , AMUNTAI TENGAH , ANTASARI ," Jl. Bihman Villa, No. 78, Antasari, Kecamatan Amuntai Tengah, Kabupaten Hulu Sungai Utara, Kalimantan Selatan, Antasari, Amuntai Tengah, Kabupaten Hulu Sungai Utara, Kalimantan Selatan ", SPPG Hulu Sungai Utara Amuntai Tengah Antasari 
8562,7784.0, SUMATERA SELATAN , KOTA PALEMBANG , SEBERANG ULU SATU , LIMA ULU , Perumahan OPI Cemara No. 2 RT. 41 Kel. 15 Ulu Kec. Seberang Ulu 1 , SPPG Kota Palembang Seberang Ulu Satu 5 Ulu  
8563,7785.0, SUMATERA UTARA , LABUHANBATU , RANTAU UTARA , PULO PADANG ," Jl. Perlayuan Kel. Pulo Padang, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara ", SPPG Labuhanbatu Rantau Utara Pulo Padang 
8564,7786.0, JAWA BARAT , SUMEDANG , SUMEDANG UTARA , KOTA KALER ," Jl. Tampomas, Kel. Kota Kaler, Kec. Sumedang Utara, Kab. Sumedang, Jawa Barat ", SPPG Sumedang Sumedang Utara Kota Kaler 5 
8565,7787.0, SUMATERA BARAT , AGAM , CANDUNG , CANDUANG KOTO LAWEH ," Jl. Jawi Timba Jorong Gantiang Koto Tuo Nagari, Canduang Koto Laweh, Kecamatan Candung, Kabupaten Agam, Provinsi Sumatera Barat ", SPPG Agam Candung Canduang Koto Laweh 
8566,7788.0, KEPULAUAN RIAU , KOTA BATAM , SAGULUNG , TEMBESI ," Perumahan Aviari Residence, Kelurahan Tembesi, Kecamatan Sagulung, Kota Batam 29472, Tembesi, Sagulung, Kota Batam, Kepulauan Riau ", SPPG Kota Batam Sagulung Tembesi 2 
8567,7789.0, JAWA BARAT , CIANJUR , CUGENANG , NYALINDUNG ," Jl. Senen No.Rt 002/002, Nyalindung, Kec. Cugenang, Kab. Cianjur, Jawa Barat ", SPPG Cianjur Cugenang Nyalindung 
8568,7790.0, DKI JAKARTA , KOTA ADM. JAKARTA PUSAT , KEMAYORAN , SERDANG ," Jl. Bendungan Jago Rt.014 Rw.001, Serdang, Kec. Kemayoran, Kota Adm. Jakarta Pusat, Dki Jakarta ", SPPG Jakpus Kemayoran Serdang 2 
