,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
16431,14938.0, JAWA TIMUR , LAMONGAN , LAREN , KEDUYUNG ," Desa Keduyung, Kecamatan Laren, Kabupaten Lamongan, Jawa Timur ", SPPG Lamongan Laren Keduyung 
16432,14939.0, NUSA TENGGARA BARAT , LOMBOK TIMUR , SELONG , PANCOR ," Jl. Hos Cokro Aminoto, Pancor, Kecamatan Selong, Kabupaten Lombok Timur, Nusa Tenggara Barat ", SPPG Lombok Timur Selong Pancor 3 
16433,14940.0, RIAU , BENGKALIS , BANTAN , BANTAN TUA ," Jl. Ilman Bulqin, Desa Bantan Tua, Kec. Bantan, Kab. Bengkalis, Riau ", SPPG Bengkalis Bantan Bantan Tua 
16435,14941.0, JAWA TENGAH , KOTA SEMARANG , SEMARANG TIMUR , KARANGTURI ," Jl. Sidodadi No 5, Karangturi, Kec. Semarang Timur, Kota Semarang, Jawa Tengah ", SPPG Kota Semarang Semarang Timur Karangturi 
16436,14942.0, JAWA TIMUR , NGANJUK , KERTOSONO , KEPUH ," Perum Griya Kepuh Asri Blok F No. 12 A, Desa Kepuh, Kecamatan Kertosono, Kabupaten Nganjuk, Provinsi Jawa Timur ", SPPG Nganjuk Kertosono Kepuh 2 
16437,14943.0, SULAWESI TENGAH , POSO , POSO KOTA , GEBANGREJO BARAT ," Jl. Pulau Morotai Rt. 004 Rw. 002, Kel. Gebangrejo Barat, Kec. Poso Kota, Kab. Poso, Sulawesi Tengah ", SPPG Poso Poso Kota Gebangrejo Barat 
16438,14944.0, JAWA BARAT , KOTA DEPOK , CIPAYUNG , CIPAYUNG ," Jl. Bulak Timur Rt 007 Rw 09 Kelurahan Cipayung, Kecamatan Cipayung, Kota Depok, Jawa Barat ", SPPG Kota Depok Cipayung Cipayung 2 
16439,14945.0, NUSA TENGGARA BARAT , LOMBOK TIMUR , SUWELA , KETANGGA ," Jl.Pariwisata Suela, Desa Ketangga, Kec.Suela, Kab.Lombok Timur, Nusa Tenggara Barat ", SPPG Lombok Timur Suwela Ketangga 
16440,14946.0, KEPULAUAN RIAU , KOTA BATAM , SAGULUNG , SUNGAI PELUNGGUT ," Ruko Kapta Green Valley Blok A No. 1-3, Kelurahan Sungai Pelunggut, Kecamatan Sagulung, Kota Batam, Kepulauan Riau. ", SPPG Kota Batam Sagulung Sungai Pelunggut 6 
16441,14947.0, JAWA BARAT , BANDUNG BARAT , BATUJAJAR , PANGAUBAN ," Kampung Cibodas Rt.02 Rw.08, Pangauban, Kecamatan Batujajar, Kabupaten Bandung Barat, Jawa Barat ", SPPG Bandung Barat Batujajar Pangauban 
16442,14948.0, JAWA TIMUR , TRENGGALEK , TUGU , NGLONGSOR ," Dusun Corah Mulyo Rt.02 Rw.01 Desa Nglongsor Kec. Tugu Kab. Trenggalek, Jawa Timur ", SPPG Trenggalek Tugu Nglongsor 
16443,14949.0, KALIMANTAN BARAT , KOTA SINGKAWANG , SINGKAWANG UTARA , NARAM ," Jalan Demang Akub,  RT 05 RW 02, Kel. Sungai Naram, Kec. Singkawang Utara, Kota Singkawang, Provinsi Kalimantan Barat ", SPPG Kota Singkawang Singkawang Utara Sungai Bulan 
16444,14950.0, JAWA BARAT , GARUT , TAROGONG KALER , MEKARWANGI ," Jl. Raya Samarang No.82 Rt.02 Rw.04, Mekarwangi, Tarogong Kaler, Kab. Garut, Jawa Barat ", SPPG Garut Tarogong Kaler Mekarwangi 
16446,14951.0, NUSA TENGGARA BARAT , BIMA , TAMBORA , LABUHAN KENANGA ," Jl. Lintas Tambora Sanggar, Labuhan Kenanga, Tambora, Kab. Bima, Nusa Tenggara Barat ", SPPG Bima Tambora Labuhan Kenanga 
16447,14952.0, JAWA BARAT , KOTA BANDUNG , SUKAJADI , PASTEUR ," Jl. Karangsari No 12 Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat ", SPPG Kota Bandung Sukajadi Pasteur 2 
16448,14953.0, RIAU , KOTA PEKANBARU , BINAWIDYA , TOBEKGODANG ," Jl. Gereja, Tobekgodang, Binawidya, Pekanbaru, Riau. ", SPPG Kota Pekanbaru Binawidya Tobekgodang 
16449,14954.0, SUMATERA UTARA , MANDAILING NATAL , LEMBAH SORIK MARAPI , PURBA BARU ," Jl. Medan Padang Desa Purba Baru, Kec. Lembah Sorik Marapi, Kab. Mandailing Natal, Sumatera Utara ", SPPG Mandailing Natal Lembah Sorik Marapi Purba Baru 2 
16450,14955.0, JAWA TENGAH , TEGAL , SURADADI , JATIBOGOR , Gang kosambi RT 03 RW 07 desa Jatibogor Kecamatan Suradadi Kabupaten Tegal Jawa Tengah , SPPG Tegal Suradadi Jatibogor 
16451,14956.0, BANTEN , SERANG , KIBIN , TAMBAK ," Jl. Rahayu No 27,Rt 01 Rw 05, Kec. Kragilan, Kab. Serang, Banten ", SPPG Serang Kibin Tambak 
16452,14957.0, JAWA BARAT , BANDUNG BARAT , CILILIN , CILILIN ," Kampung Sukatani Rt 001 Rw 005 Desa Cililin, Kecamatan Cililin, Kabupaten Bandung Barat, Jawa Barat ", SPPG Bandung Barat Cililin Cililin 4 
16453,14958.0, SUMATERA SELATAN , MUSI RAWAS , MUARA BELITI , MUARA BELITI BARU ," Jl. Mahmud Amin Desa Muara Beliti Baru, Kec. Muara Beliti, Kab. Musi Rawas, Sumatera Selatan ", SPPG Musi Rawas Muara Beliti Muara Beliti Baru 2 
16454,14959.0, SUMATERA SELATAN , OGAN KOMERING ULU , BATURAJA BARAT , SUKAMAJU ," Jl gatot subroto ds sukamaju no 51/a, SUKAMAJU, BATURAJA BARAT, KAB. OGAN KOMERING ULU, SUMATERA SELATAN ", SPPG OKU Baturaja Barat Sukamaju 
16455,14960.0, SUMATERA SELATAN , KOTA PAGAR ALAM , PAGAR ALAM SELATAN , NENDAGUNG ," Jl. Air Perikan, Kelurahan Nendagung, Kecamatan Pagar Alam Selatan, Kota Pagar Alam, Provinsi Sumatera Selatan ", SPPG Kota Pagar Alam Pagar Alam Selatan Nendagung 2 
16457,14961.0, ACEH , PIDIE JAYA , BANDAR DUA , ULEE GLE ," Jl. Raya Medan Banda Aceh, Desa Ulee Gle, Kecamatan Bandar Dua, Kabupaten Pidie Jaya, Provinsi Aceh, Ulee Gle, Bandar Dua, Kab. Pidie Jaya, Aceh ", SPPG Pidie Jaya Bandar Dua Ulee Gle 
16458,14962.0, JAWA TENGAH , WONOSOBO , GARUNG , KURIPAN ," Jl. Raya Dieng Km. 11 Kuripan Rt. 01 Rw. 01 Desa Kuripan, Kec. Garung, Kab. Wonosobo, Jawa Tengah ", SPPG Wonosobo Garung Kuripan 
16459,14963.0, BANTEN , LEBAK , RANGKASBITUNG , MUARA CIUJUNG TIMUR ," Jl. Tb. Hasan No. 40, Kelurahan Muara Ciujung Timur, Kec. Rangkasbitung, Kab. Lebak, Banten ", SPPG Lebak Rangkasbitung Muara Ciujung Timur 1 
16460,14964.0, ACEH , GAYO LUES , BLANGPEGAYON , CINTA MAJU ," jalan Kong Bur Desa Cinta Maju, Kecamatan Blang Pegayon Kabupaten Gayo Lues , CINTA MAJU, BLANGPEGAYON, KAB. GAYO LUES, ACEH ", SPPG Gayo Lues Blangpegayon Cinta Maju 
16461,14965.0, JAWA TIMUR , BONDOWOSO , CERMEE , BERCAK ASRI ," Jl. Raya Bercak, Desa Bercak Asri, Kec. Cermee, Kab. Bondowoso, Jawa Timur ", SPPG Bondowoso Cermee Bercak Asri 
16462,14966.0, SULAWESI SELATAN , TAKALAR , POLONGBANGKENG TIMUR , TIMBUSENG ," Panaikang 1 Desa Timbuseng Kec. Polongbangkeng Utara Kab. Takalar, Sulawesi Selatan ", SPPG Takalar Polongbangkeng Utara Towata 
16463,14967.0, JAWA TENGAH , JEPARA , KEDUNG , JONDANG ," Desa Jondang, Jondang, Kec. Kedung, Kab. Jepara, Jawa Tengah ", SPPG Jepara Kedung Jondang 
16464,14968.0, JAWA BARAT , BEKASI , SUKAWANGI , SUKAWANGI ," Jl. Karang Getak Sukawangi, Desa Sukawangi, Kec. Sukawangi, Kab. Bekasi, Jawa Barat ", SPPG Bekasi Sukawangi Sukawangi 
16465,14969.0, JAWA BARAT , BANDUNG , BALEENDAH , MANGGAHANG ," Jl. Neglasari No.2, Manggahang, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375 ", SPPG Bandung Baleendah Manggahang 3 
16466,14970.0, BANTEN , PANDEGLANG , CIMANUK , BATUBANTAR ," Kelurahan Batubantar, Kecamatan Cimanuk, Kabupaten Pandeglang, Banten ", SPPG Pandeglang Cimanuk Batubantar 1 
16468,14971.0, JAWA BARAT , KOTA CIMAHI , CIMAHI TENGAH , KARANGMEKAR ," Jl. Gatot Subroto no. 248, Kel. Karangmekar, Kec. Cimahi Tengah, Kota Cimahi ", SPPG Kota Cimahi Cimahi Tengah Karangmekar 
16469,14972.0, JAWA TENGAH , SEMARANG , UNGARAN TIMUR , GEDANGANAK ," Gedanganak, Kec. Ungaran Timur, Kab Semarang, Jawa Tengah ", SPPG Semarang Ungaran Timur Gedanganak 
16470,14973.0, SULAWESI SELATAN , KOTA MAKASSAR , TAMALANREA , TAMALANREA INDAH ," Jl. Perintis Kemerdekaan Km 9, Tamalanrea Indah, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan ", SPPG Kota Makassar Tamalanrea Tamalanrea Indah 2 
16471,14974.0, JAWA BARAT , KOTA BANDUNG , REGOL , CIATEUL ," Jl. H. Samsudin No 75, Ciateul, Kecamatan Regol, Kota Bandung, Jawa Barat ", SPPG Kota Bandung Regol Ciateul  
16472,14975.0, KALIMANTAN UTARA , BULUNGAN , TANJUNG SELOR , TANJUNG SELOR HILIR ," Jl. Kedondong, Tanjung Selor Hilir, Kec. Tanjung Selor, Kab. Bulungan, Kalimantan Utara ", SPPG Bulungan Tanjung Selor Tanjung Selor Hilir 3 
16473,14976.0, JAWA TENGAH , KLATEN , KARANGANOM , KARANGANOM ," Jl. Jebukan, Kel. Karanganom, Kec. Karanganom, Kab. Klaten, Jawa Tengah ", SPPG Klaten Karanganom Karanganom 2 
16474,14977.0, SULAWESI TENGAH , BANGGAI , BATUI SELATAN , BONEBALANTAK ," Jl. Trans Luwuk, Desa Bone Balantak, Kecamatan Batui Selatan, Kabupaten Banggai, Sulawesi Tenggara ", SPPG Banggai Batui Selatan Bonebalantak 
16475,14978.0, JAWA TENGAH , BLORA , JEPON , SESO ," Jl. Raya Seso Sayuran Desa Seso Kecamatan Jepon Kabupaten Blora, Jawa Tengah ", SPPG Blora Jepon Seso 2 
16476,14979.0, LAMPUNG , KOTA METRO , METRO BARAT , MULYOJATI ," Jl. Akasia Kel. Mulyojati, Kec. Metro Barat, Kota Metro, Lampung ", SPPG Kota Metro Metro Barat Mulyojati 3 
16477,14980.0, NUSA TENGGARA BARAT , KOTA MATARAM , AMPENAN , DAYAN PEKEN ," Jl. Adi Sucipto No 99, Pelembak, RT000/047, Desa Peken, Ampenan ", SPPG Kota Mataram Ampenan Dayan Peken 
16479,14981.0, NUSA TENGGARA BARAT , LOMBOK BARAT , GERUNG , GAPUK ," Gapuk, Kec. Gerung, Kab. Lombok Barat, Nusa Tenggara Barat ", SPPG Lombok Barat Gerung Gapuk 
16480,14982.0, JAWA BARAT , BOGOR , PARUNG PANJANG , CIBUNAR ," Kampung Rancabelut Rt 01 Rw 08, Cibunar, Kec. Parung Panjang, Kab. Bogor, Jawa Barat ", SPPG Bogor Parung Panjang Cibunar 
16481,14983.0, NUSA TENGGARA TIMUR , SUMBA TIMUR , UMALULU , LUMBUKORE ," Jl. Simpang Permata Rt/Rw. 04/02, Lumbukore, Kec. Umalulu, Kab. Sumba Timur, Nusa Tenggara Timur ", SPPG Sumba Timur Umalulu Lumbukore 
16482,14984.0, JAWA BARAT , KOTA BANDUNG , BANDUNG WETAN , CIHAPIT ," Jl. Mangga No. 29 Kel Cihapit Kec. Bandung Wetan, Kota Bandung Jawa Barat ", SPPG Kota Bandung Bandung Wetan Cihapit 2 
16483,14985.0, RIAU , BENGKALIS , MANDAU , GAJAH SAKTI ," Jl. Jawa No.102 Rt 01 Rw.02 Kelurahan Gajah Sakti, Kecamatan Mandau, Kabupaten Bengkalis, Riau ", SPPG Bengkalis Mandau Gajah Sakti 3 
16484,14986.0, JAWA BARAT , SUKABUMI , CISAAT , SUKARESMI ," Jalan Pemandian Cigunung No. 64, Desa Sukaresmi, Kec. Cisaat, Kab. Sukabumi, Jawa Barat ", SPPG Sukabumi Cisaat Sukaresmi 
16485,14987.0, JAWA TIMUR , TULUNGAGUNG , SUMBERGEMPOL , BENDILWUNGU ,"  Dsn. Bendilwungu, Rt. 003 Rw. 004, Desa. Bendilwungu, Kecamatan Sumbergempol, Kabupaten Tulungagung, Jawa Timur ", SPPG Tulungagung Sumbergempol Bendilwungu 
16486,14988.0, JAWA BARAT , BOGOR , SUKAJAYA , CIPAYUNG ," Kampung Kompa 1 Rt 1 Rw 1 Desa Sipayung, Kecamatan Sukajaya, Kabupaten Bogor, Jawa Barat ", SPPG Bogor Sukajaya Cipayung 
16487,14989.0, DKI JAKARTA , KOTA ADM. JAKARTA TIMUR , PULOGADUNG , JATINEGARA KAUM , Jl. Raya Bekasi RT 001/RW 003 , SPPG Jaktim Pulogadung Jatinegara Kaum 5 
16488,14990.0, NUSA TENGGARA TIMUR , KUPANG , KUPANG BARAT , TABLOLONG ," RT 007 RW 004, Dusun IV, Desa Tablolong, Kec. Kupang Barat, Kab. Kupang, Nusa Tenggara Timur ", SPPG Kupang Kupang Barat Tablolong 
16490,14991.0, JAWA BARAT , BANDUNG , PASIRJAMBU , CISONDARI ," Kampung Babakanrahayu Rt 05 Rw 01, Cisondari, Kec. Pasirjambu, Kab. Bandung, Jawa Barat ", SPPG Bandung Pasirjambu Cisondari 
16491,14992.0, MALUKU UTARA , HALMAHERA SELATAN , OBI BARAT , JIKOHAI ," Jikohai, Kec. Obi Barat, Kab. Halmahera Selatan, Maluku Utara ", SPPG Halmahera Selatan Obi Barat Jikohai 
16492,14993.0, JAWA TENGAH , PEMALANG , RANDUDONGKAL , RANDUDONGKAL ," Jl. Ki Hajar Dewantara Jl. Lkr. Utara, Rt.49/Rw.05, Dusun V, Randudongkal, Kecamatan Randudongkal, Kabupaten Pemalang, Jawa Tengah ", SPPG Pemalang Randudongkal Randudongkal 4 
16493,14994.0, JAWA TENGAH , SEMARANG , SUSUKAN , SUSUKAN ," Jalan Suroto,Dusun Susukan, Desa Susukan, Kecamatan Susukan, Kabupaten Semarang, Jawa Tengah ", SPPG Semarang Susukan Susukan 1 
16494,14995.0, NUSA TENGGARA TIMUR , MANGGARAI TIMUR , BORONG , KOTA NDORA ," Kampung Ende, Kel. Kota Ndora, Kec. Borong, Kab. Manggarai Timur, Nusa Tenggara Timur ", SPPG Manggarai Timur Borong Kota Ndora  
16495,14996.0, ACEH , KOTA SUBULUSSALAM , SIMPANG KIRI , LAE ORAM ," Jl. Teuku Umar, Lae Oram, Kec. Simpang Kiri, Kota Subulussalam, Aceh ", SPPG Kota Subulussalam Simpang Kiri Lae Oram 
16496,14997.0, JAWA BARAT , CIAMIS , SINDANGKASIH , GUNUNGCUPU , Dusun Gunungrasa Rt 13 Rw 007 Desa Gunungcupu Kec. Sindangkasih Ciamis , SPPG Ciamis Sindangkasih Gunungcupu 
16497,14998.0, SULAWESI SELATAN , KOTA MAKASSAR , MAMAJANG , PARANG ," Jl. Kakatua 2 No.116, Kel. Parang, Kec. Mamajang, Kota
Makassar, Provinsi Sulawesi Selatan, 90133. ", SPPG Kota Makassar - Mamajang 
16498,14999.0, JAWA TENGAH , PEKALONGAN , BOJONG , BOJONGWETAN ," Desa Bojong Wetan Rt.08 Rw.04 Kec. Bojong, Kab. Pekalongan, Jawa Tengah ", SPPG Pekalongan Bojong Bojongwetan 
16499,15000.0, JAWA TIMUR , KOTA PROBOLINGGO , KADEMANGAN , KETAPANG ," Jl. Kelud No 94 Kelurahan Ketapang Kecamatan Kademangan Kota Probolinggo, Jawa Timur ", SPPG Kota Probolinggo Kademangan Ketapang 
16501,15001.0, JAWA TENGAH , CILACAP , KARANGPUCUNG , KARANGPUCUNG ," Jl. Raya Karangpucung Sidareja Rt 1 Rw 8  Kec. Karangpucung, Kabupaten Cilacap, Jawa Tengah ", SPPG Cilacap Karangpucung Karangpucung 
16502,15002.0, KALIMANTAN TENGAH , BARITO TIMUR , DUSUN TENGAH , AMPAH KOTA , Jl. Ampah - Muara Teweh Rt 12 Kelurahan Ampah Kota , SPPG Barito Timur Dusun Tengah Ampah Kota 2 
16503,15003.0, DAERAH ISTIMEWA YOGYAKARTA , BANTUL , SEWON , BANGUNHARJO ," Jl. Imogiri Barat Km4,5 Rt 002, Bangunharjo, Kec. Sewon, Kab. Bantul, Daerah Istimewa Yogyakarta ", SPPG Bantul Sewon Bangunharjo 5 
16504,15004.0, JAWA TIMUR , NGANJUK , NGANJUK , KRAMAT ," Jl. Lawu RT 002 RW 002 Kel. Kramat, Kec. Nganjuk, Kab. Nganjuk, Jawa Timur ", SPPG Nganjuk Nganjuk Kramat 
16505,15005.0, JAWA BARAT , GARUT , MALANGBONG , GIRIMAKMUR ," Kampung Patrol Rt/Rw 003/003, Girimakmur, Kecamatan Malangbong, Kabupaten Garut, Jawa Barat ", SPPG Garut Malangbong Girimakmur 
16506,15006.0, JAWA BARAT , INDRAMAYU , INDRAMAYU , PAOMAN ," Jl. Siliwangi No. 31, Paoman, Kec. Indramayu, Kab. Indramayu, Jawa Barat ", SPPG Indramayu Indramayu Paoman 
16507,15007.0, DKI JAKARTA , KOTA ADM. JAKARTA BARAT , KALIDERES , SEMANAN ," Jl. H. Mumin No.173. Rt 04 Rw 04 Kel. Semanan, Kec. Kalideres, Kota Adm. Jakarta Barat, Dki Jakarta ", SPPG Kota Adm. Jakarta Barat Kalideres Semanan 6 
16508,15008.0, BALI , KOTA DENPASAR , DENPASAR TIMUR , PENATIH ," Jl. Sanggalangit Ii No.14, Penatih, Kec. Denpasar Timur, Kota Denpasar, Bali ", SPPG Kota Denpasar Denpasar Timur Penatih 2 
16509,15009.0, KEPULAUAN RIAU , NATUNA , BUNGURAN TIMUR , BATU HITAM ," Jl. BM Yasin, RT 001/RW 005 ", SPPG Natuna Bunguran Timur Batu Hitam 
16510,15010.0, JAWA TIMUR , PAMEKASAN , PAMEKASAN , JUNGCANGCANG ," Jl. Segara No 150 C. Rw 1 Jungcangcang Kec. Pamekasan, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Pamekasan Jungcangcang 2 
16512,15011.0, KALIMANTAN SELATAN , BARITO KUALA , ANJIR MUARA , ANJIR SERAPAT MUARA ," Anjir Serapat Muara, Kec. Anjir Muara, Kab. Barito Kuala, Kalimantan Selatan ", SPPG Barito Kuala Anjir Muara Anjir Serapat Muara 
16513,15012.0, JAWA BARAT , BOGOR , KLAPANUNGGAL , BOJONG ," Jl. Raya Bojong Klapa Nunggal, Ds.Bojong, Kec. Klapanunggal, Kab. Bogor, Jawa Barat ", SPPG Bogor Klapanunggal Bojong 
16514,15013.0, JAWA BARAT , TASIKMALAYA , MANONJAYA , MANONJAYA ," Jl. Kamantren Rt 15 Rw 2 Desa Manonjaya, Manonjaya, Kec. Manonjaya, Kab. Tasikmalaya, Jawa Barat ", SPPG Tasikmalaya Manonjaya Manonjaya 3 
16515,15014.0, DKI JAKARTA , KOTA ADM. JAKARTA SELATAN , PASAR MINGGU , PEJATEN BARAT ," RT 001 RW 01 No 6, Pejaten Barat, Kec. Pasar Minggu, Kota Adm. Jakarta Selatan, Dki Jakarta ", SPPG Jaksel Pasar Minggu Pejaten Barat 5 
16516,15015.0, DKI JAKARTA , KOTA ADM. JAKARTA TIMUR , CAKUNG , CAKUNG TIMUR ," Jl. Tambun Rengas No. 9 Rt 04 Rw 07 Kel. Cakung Timur, Kec. Cakung, Kota Adm. Jakarta Timur, Dki Jakarta ", SPPG Jaktim Cakung Cakung Timur 2 
16517,15016.0, LAMPUNG , KOTA BANDAR LAMPUNG , TANJUNGKARANG PUSAT , DURIAN PAYUNG ," Jl. Khairil Anwar no. 5 durian payung, tanjung karang pusat Bandar Lampung ", SPPG Kota Bandar Lampung Tanjungkarang Pusat Durian Payung 
16518,15017.0, SUMATERA UTARA , TAPANULI TENGAH , BARUS , PADANG MASIANG ," Jl. Hamzah fansyuri No.1 Padang Masiang, Kecamatan Barus, Kabupaten Tapanuli Tengah, Sumatera Utara ", SPPG Tapanuli Tengah Barus Padang Masiang 
16519,15018.0, JAWA TIMUR , TRENGGALEK , DURENAN , KAMULAN ," Jalan Kanjengan, Dusun Guyang Gajah, Desa Kamulan, Kecamatan Durenan, Kabupaten Trenggalek, Jawa Timur ", SPPG Trenggalek Durenan Kamulan 
16520,15019.0, JAWA BARAT , KOTA BEKASI , RAWALUMBU , BOJONGMENTENG ," Jalan Swadaya II No.63 Kel. Bojongmenteng, Rawalumbu, Kota Bekasi ", SPPG Kota Bekasi Rawalumbu Bojongmenteng 1 
16521,15020.0, LAMPUNG , LAMPUNG UTARA , KOTABUMI SELATAN , TANJUNG HARAPAN ," Jl. Seokarno Hatta No. 207 Kelurahan Tanjung Harapan, Kecamatan Kotabumi Selatan, Kebupaten Lampung Utara, Provinsi Lampung. ", SPPG Lampung Utara Kotabumi Selatan Tanjung Harapan  
16523,15021.0, JAWA TENGAH , BLORA , NGAWEN , BRADAG ," Desa Bradag, RT 001 RW 002, Kecamatan Ngawen, Kabupaten Blora, Jawa Tengah ", SPPG Blora Ngawen Bradag 
16524,15022.0, JAWA BARAT , INDRAMAYU , LELEA , TUNGGULPAYUNG ," Jl. Raya Tugu Wanasari, Tunggul Payung, Kecamatan Lelea, Kabupaten Indramayu, Jawa Barat ", SPPG Indramayu Lelea Tunggulpayung 
16525,15023.0, JAWA TENGAH , TEGAL , TALANG , KAJEN ," Jl. Kh. Umar Asnawi III No.13-19, Kradenan, Kajen, Kec. Talang, Kab. Tegal, Jawa Tengah ", SPPG Tegal Talang Kajen 3 
16526,15024.0, JAWA TENGAH , PATI , TAMBAKROMO , TAMBAKROMO ," Desa Karangmulyo, KecamatanTambakromo, Kabupaten Pati, Jawa Tengah ", SPPG Pati Tambakromo Tambakromo 
16527,15025.0, ACEH , ACEH TIMUR , DARUL AMAN , GAMPONG BARO ," Jl. Medan Banda Aceh Gampong baro, Kec. Darul Aman Kab. Aceh Timur, Aceh ", SPPG Aceh Timur Darul Aman Bagok Panah Sa 
16528,15026.0, JAWA BARAT , KARAWANG , KARAWANG TIMUR , WARUNGBAMBU ," Jl. Suroto Kunto Krajan II Rt.004 Rw.002 Kel. Warungbambu, Kecamatan Karawang Timur, Kabupaten Karawang Jawa Barat ", SPPG Karawang Karawang Timur Warungbambu 2 
16529,15027.0, JAWA TENGAH , SEMARANG , TUNTANG , KESONGO ," Dusun. Ngreco Rt. 001 Rw. 004, Kesongo, Tuntang, Kab. Semarang, Jawa Tengah ", SPPG Semarang Tuntang Kesongo 2 
16530,15028.0, RIAU , KOTA PEKANBARU , SENAPELAN , PADANG BULAN ," Jl. Melati No.28 Kel. Padang Bulan, Kec. Senapelan, Kota Pekanbaru, Riau ", SPPG Kota Pekanbaru Senapelan Padang Bulan 2 
16531,15029.0, JAWA BARAT , SUKABUMI , CIREUNGHAS , BENCOY ," Kampung Cirenghas No. 22 Rt. 001 Rw. 002 Desa Bencoy Kecamatan Cireunghas Kabupaten Sukabumi, Jawa Barat ", SPPG Sukabumi Cireunghas Bencoy 
16532,15030.0, DAERAH ISTIMEWA YOGYAKARTA , SLEMAN , DEPOK , CATURTUNGGAL ," Jl. Pandega Marta No. A1, Caturtunggal, Kecamatan Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta ", SPPG Sleman Depok Caturtunggal 6 
16534,15031.0, RIAU , KAMPAR , TAPUNG HULU , KUSAU MAKMUR ," Jl. Raya Petapahan Bangkinang, Kusau Makmur, Kecamatan Tapung Hulu, Kabupaten Kampar, Riau ", SPPG Kampar Tapung Hulu Kusau Makmur 
16535,15032.0, SULAWESI SELATAN , MAROS , BONTOA , BONTOA ," Lingkungan Bontoa, Kec. Bontoa, Kab. Maros, Sulawesi Selatan ", SPPG Maros Bontoa Bontoa 
16536,15033.0, DKI JAKARTA , KOTA ADM. JAKARTA PUSAT , SENEN , KRAMAT ," Jl. Kramat Lontar No.H. 92 6, Rt.6/Rw.7, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta ", SPPG Jakpus Senen Kramat 
16537,15034.0, LAMPUNG , LAMPUNG TENGAH , SENDANG AGUNG , SENDANG ASIH ," Dusun 4 , Rt. 08 Rw. 04, Kampung Sendang Asih, Kec. Sendang Agung, Kab. Lampung Tengah, Lampung ", SPPG Lampung Tengah Sendang Agung Sendang Asih 
16538,15035.0, DKI JAKARTA , KOTA ADM. JAKARTA SELATAN , PESANGGRAHAN , BINTARO ," Jl. Cempaka V No.5, Rt. 07 Rw. 11, Bintaro, Kec. Pesanggrahan, Kota Adm. Jakarta Selatan, Dki Jakarta ", SPPG Kota Adm. Jakarta Selatan Pesanggrahan Bintaro 4 
16539,15036.0, ACEH , KOTA LANGSA , LANGSA BARO , GEUDUBANG ACEH , Jln. Lilawangsa Gg. BTN Abri Desa Geudubang Aceh Kecamatan Langsa Baro Kota Langsa Provinsi Aceh , SPPG Kota Langsa Langsa Baro Geudubang Aceh 
16540,15037.0, JAWA TENGAH , KEBUMEN , KEBUMEN , ADIKARSO ," Dk Krajan, RT02/03, Desa Kalirejo, Kecamatan Kebumen, Kabupaten Kebumen, Jawa Tengah ", SPPG Kebumen Kebumen Adikarso 2 
16541,15038.0, JAWA BARAT , KOTA BANDUNG , COBLONG , SEKELOA ," Jl. Kubang Utara II No.19 Rt.002 / Rw.007, Kel. Sekeloa, Kec. Coblong, Kota Bandung ", SPPG Kota Bandung Coblong Lebak Gede 3 
16542,15039.0, BENGKULU , BENGKULU UTARA , AIR NAPAL , TEPI LAUT ," Desa Tepi Laut Kecamatan Air Napal Kabupaten Bengkulu Utara, Bengkulu ", SPPG Bengkulu Utara Air Napal Tepi Laut 
16543,15040.0, JAWA TENGAH , KLATEN , WONOSARI , SEKARAN ," Dukuh 1 Sekaran, Kec. Wonosari, Kab. Klaten, Jawa Tengah ", SPPG Klaten Wonosari Sekaran 
16545,15041.0, BENGKULU , REJANG LEBONG , CURUP UTARA , TASIK MALAYA ," JL.SIMPANG 4 PRAMBANAN, DESA TASIK MALAYA, KECAMATAN CURUP UTARA, KABUPATEN REJANG LEBONG, PROVINSI BENGKULU ", SPPG Rejang Lebong Curup Utara Tasik Malaya 
16546,15042.0, JAWA TIMUR , GRESIK , GRESIK , TRATE ," Jl. KH. Abdul Karim 60, Trate, Kec. Gresik, Kab. Gresik, Jawa Timur ", SPPG Gresik Gresik Trate 
16547,15043.0, JAWA TIMUR , NGANJUK , BARON , BARON ," Jl. Raya Baron, Kecamatan Baron, Kabupaten Nganjuk, Jawa Timur ", SPPG Nganjuk Baron Baron 
16548,15044.0, BANTEN , PANDEGLANG , CIKEDAL , CENING ," Cikening Raya, Cening, Kec. Cikedal, Kab. Pandeglang, Banten ", SPPG Pandeglang Cikedal Cening 2 
16549,15045.0, DKI JAKARTA , KOTA ADM. JAKARTA UTARA , KOJA , TUGU UTARA , Jl. Pelumpang Semper RT. 004 RW. 013 No 4 , SPPG Jakut Koja Tugu Utara 2 
16550,15046.0, JAWA BARAT , KUNINGAN , KRAMATMULYA , BOJONG , Dusun Manis Rt.10 Rw.02 Desa Bojong Kecamatan Kramatmulya Kabupaten Kuningan Provinsi Jawa Barat , SPPG Kuningan Kramatmulya Bojong 
